Comments,Date,User
16 Cheapest cities to visit in the USA,May 2019,Hand Luggage Only
"Across the street from trendy bars and restaurants in Philadelphia's Fairmount neighborhood sits the fortress-like Eastern State Penitentiary. Although the abandoned prison is slowly crumbling, the intimidating architecture and vaulted ceilings are still eerily majestic. To read more about this creepy destination and its haunted history, click the link. ",Dec 2019,Business Insider
"Until I visited Philadelphia I had never registered that this is really where the United States of America happened. The founding fathers met here, the declaration of independence was signed here, the first US Presidential Residence was here, the first American Flag was created here (more of that to come) – there are firsts everywhere in Philadelphia!

And with those firsts come photo opportunities! ",Mar 2019,BoutiqueAdventurer
"Your 20s are a time to get out and explore new cultures, but don't forget to take advantage of the diverse destinations right here in the United States. Even if it's a quick weekend trip, it will feed that desire of wanderlust in just a few hours by simply hopping on a train or taking a road trip. Whether you're a foodie who's looking to try a new cuisine or a nature-lover who wants to hike the canyons, we've rounded up 2019's best places to travel in the US if you're in your 20s.",Dec 2019,PopSugar
"There's no place like Philly for the Fourth of July, and we've got the inside scoop on the *best* firework vantage points. ",Jun 2019,Philadelphia -- visitphilly.com
"It's a city full of young people, artists, and immigrants, with dozens of different neighborhoods that all share a passion for their city. As the first city in the United States to be recognized as a World Heritage City, it’s the perfect destination for history buffs or anyone who enjoys a leisurely stroll along cobblestone streets.",Dec 2019,Matador Network
Looking for an amazing place to celebrate Pride Month? Philly is the place to be! 🏳️‍🌈,Jun 2019,Philadelphia -- visitphilly.com
"National Geographic named Philadelphia the best city to visit in 2020, and we've compiled a list of all the foods you need to try when you go, according to a local. Don't miss the confections at local chain Federal Donuts, which serves up flavors like strawberry-lavender, carrot cake, and key lime pie. For award-winning Israeli food grab dinner at Zahav, and don't forget to try the hummus served with homemade laffa bread. To read more about Philly's best eats, click the link. ",Jan 2020,Business Insider
"My review of the Trek America Freedom Trail - a small group tour around the northeastern USA. New York - Philly - Washington - Amish Country - Niagara Falls - Boston - New York! 

This was a gifted trip from Trek America, but all the thoughts are honest and my own. ",Jul 2019,Emily Luxton Travels
"These destinations in the United States are either up and coming or classics experiencing a renaissance. With its cobblestones and old-fashioned riverboats, Savannah, Georgia is like a trip to the past. Visitors can sip mint juleps on rooftop bars, admire squares cloaked in Spanish moss, and enjoy hearty, seafood-heavy cuisine. Travelers to Santa Fe, New Mexico can peruse modern art galleries in ancient Pueblo-style homes, and tour the oldest church in the country. To read more, click the link.",Jan 2020,Business Insider
"Cooly preserved and spread throughout the nation, each monument shines a light on what has come before, creating a window into the meticulous engineering of the U.S. ",Aug 2019,Passion Passport
Things are heating up in Philly. Be sure to make the most of the city's incredible spring lineup! 🍃☀️,May 2019,Philadelphia -- visitphilly.com
If you're a foodie and heading to Philadelphia then this is the video for you! ,Feb 2019,BoutiqueAdventurer
Always looking for wine shops when you travel? Here's a list of the best ones across the country. ,Oct 2019,Wine Enthusiast
